purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:pypi/six,six,pypi,dormant,broad,0,0,switch-piecemeal,,"Python 2 support ended in 2020. Migrate away by replacing each six utility with its Python 3 equivalent: `six.string_types` → `str`, `six.moves.urllib` → `urllib`, etc.",llm,0.85,591238,python-dateutil,2639,136,0,0,https://github.com/benjaminp/six
pkg:pypi/pytz,pytz,pypi,dormant,broad,0,0,switch,,"For Python 3.9+, migrate to stdlib zoneinfo with the tzdata package. Dormant (last release 2022) but showing recent commits. Older projects should pin versions and plan upgrades.",llm,0.85,464910,geopy,2500,187,1,0,https://github.com/stub42/pytz
pkg:pypi/itsdangerous,itsdangerous,pypi,dormant,broad,0,0,accept,,Itsdangerous is stable and broadly depended on with no single steward. Most projects should pin the version and monitor for security updates rather than attempting a costly migration.,llm,0.85,259870,starlette-session,690,87,0,0,https://github.com/pallets/itsdangerous
pkg:pypi/colorama,colorama,pypi,dormant,broad,0,0,accept,,Colorama is dormant but stable; it does one thing well and the maintainers are transparently conservative about changes. Most projects can safely pin the current version. Only switch to Rich if you need advanced terminal formatting features beyond basic colors.,llm,0.85,189970,qrcode,2327,178,0,0,https://github.com/tartley/colorama
pkg:pypi/mccabe,mccabe,pypi,dormant,broad,0,0,accept,,"mccabe is a complete, stable complexity checker; dormancy reflects finished work rather than abandonment. Pin the version, use as-is. Alternatives (radon, pylint) require config changes across projects and aren't drop-in replacements.",llm,0.88,139502,python-language-server,769,25,0,0,https://github.com/pycqa/mccabe
pkg:pypi/py,py,pypi,dead,kitchen-sink,0,0,switch-piecemeal,,"Explicitly in maintenance mode with clear deprecation guidance per README. Components have moved to alternatives: py.path→pathlib, py.apipkg→apipkg, py.iniconfig→iniconfig, py.code→pytest. Dependent must identify which slice it uses and migrate to the corresponding package.",llm,0.85,132961,retry,17404,1278,0,0,https://github.com/pytest-dev/py
pkg:pypi/decorator,decorator,pypi,dormant,broad,0,0,accept,,"Small, dependency-free codebase—safe to pin. Python's functools has evolved to cover many use cases, but individual migration to functools or wrapt is low-priority given the ecosystem scale.",llm,0.78,132367,retry,431,103,0,0,https://github.com/micheles/decorator
pkg:pypi/toml,toml,pypi,dormant,broad,0,0,switch,pkg:pypi/tomli,"tomli is actively maintained and TOML 1.0 compliant, providing a drop-in replacement for most use cases. Python 3.11+ projects needing only read access can use the built-in tomllib instead.",llm,0.85,127705,ipdb,2078,529,0,0,https://github.com/uiri/toml
pkg:pypi/traitlets,traitlets,pypi,dormant,broad,0,0,accept,,Traitlets powers Jupyter's configuration layer and is maintained minimally by that ecosystem. Dependents should pin versions; replacing it requires leaving Jupyter or piecemeal switching to attrs/Pydantic if not deeply integrated.,llm,0.8,100378,nbformat,15707,1091,0,0,https://github.com/ipython/traitlets
pkg:pypi/cycler,cycler,pypi,dormant,broad,0,0,accept,,"Stable utility with zero runtime dependencies, dormant but not broken; 98K dependents largely indirect through matplotlib. Pinning the version is the appropriate mitigation.",llm,0.9,98815,mglearn,1830,126,0,0,https://github.com/matplotlib/cycler
pkg:pypi/pickleshare,pickleshare,pypi,dormant,broad,0,0,vendor,,Pickleshare is 530 lines with no runtime dependencies—copy it into your project rather than depend on the dormant package.,llm,0.82,96320,zevit-aih-sdk,530,14,0,0,https://github.com/pickleshare/pickleshare
pkg:pypi/requests-oauthlib,requests-oauthlib,pypi,dormant,kitchen-sink,0,0,switch-piecemeal,pkg:pypi/authlib,"Unmaintained for 2+ years, zero active maintainers. Migrate OAuth 2 workflows to authlib (which maintains both 1 & 2); OAuth 1-specific use may require partial vendoring or pinning.",llm,0.72,95068,flask-dance,4264,254,0,0,https://github.com/requests/requests-oauthlib
pkg:pypi/defusedxml,defusedxml,pypi,dormant,broad,0,0,accept,,Dormant but stable and widely relied upon (94K dependents). Pin to a known-good version and monitor for new CVE reports.,llm,0.8,94220,tableauserverclient,3492,135,0,0,https://github.com/tiran/defusedxml
pkg:pypi/pexpect,pexpect,pypi,dormant,broad,0,0,switch-piecemeal,,"Pexpect is broadly adopted but dormant with no maintained alternative. Dependents should evaluate their specific subprocess control requirements and migrate to targeted solutions: subprocess for basic spawning, paramiko for SSH, or fork for full expect-like interactivity.",llm,0.65,92469,jupyter-console,13169,811,1,0,https://github.com/pexpect/pexpect
pkg:pypi/ptyprocess,ptyprocess,pypi,dormant,broad,0,0,accept,,Stable dormant code with 84K dependents and no transitive issues; pty handling is focused and unchanged. Pin the version and accept the slow-update risk rather than force migration.,llm,0.78,84285,pexpect,2071,136,0,0,https://github.com/pexpect/ptyprocess
pkg:pypi/mock,mock,pypi,dormant,alternative,0,0,switch,,"This is a backport of unittest.mock, which is part of Python's standard library (3.3+). Migrate to the built-in version instead of maintaining a dependency on this dormant package.",llm,0.96,84026,tableauserverclient,10364,753,0,0,https://github.com/testing-cabal/mock
pkg:pypi/webencodings,webencodings,pypi,unknown,broad,0,0,vendor,,"Stable WHATWG encoding standard implementation; 1,161 lines with zero dependencies makes vendoring a practical low-risk path for consumers.",llm,0.8,82892,sickrage,1161,16,0,0,https://github.com/simonsapin/python-webencodings
pkg:pypi/future,future,pypi,dead,broad,0,0,accept,,"Python 2 reached end-of-life in 2020. The maintainers explicitly recommend against new dependencies. If you still support Python 2, pin to a stable old version and plan to remove it as you end Python 2 compatibility. Otherwise, drop the dependency and update code to Python 3-only.",llm,0.95,81678,webexteamssdk,32605,3994,0,0,https://github.com/pythoncharmers/python-future
