purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:composer/psr/log,psr/log,packagist,dormant,no-alternative,0,0,accept,,PSR-3 is stable standard infrastructure. Dormancy is expected for mature interface specs; lack of commits doesn't indicate rot. Keep using it across your ecosystem.,llm,0.92,638531,composer/xdebug-handler,100,0,0,0,https://github.com/php-fig/log
pkg:composer/doctrine/lexer,doctrine/lexer,packagist,dormant,inlineable,0,0,vendor,,A 155-line lexer utility with no dependencies—small enough to copy directly into consuming projects. Last release was 813 days ago; the code is stable but no longer maintained.,llm,0.88,507297,creof/wkt-parser,155,9,0,0,https://github.com/doctrine/lexer
pkg:composer/psr/container,psr/container,packagist,unknown,no-alternative,0,0,accept,,PSR-11 is the PHP Framework Interop Group standard for dependency injection container interfaces. The lack of updates is expected for a stable contract that 502k repos depend on; pin the version and treat this as foundational infrastructure.,llm,0.95,502044,container-interop/container-interop,19,0,0,0,https://github.com/php-fig/container
pkg:composer/sebastian/resource-operations,sebastian/resource-operations,packagist,dead,few-large,1,0,vendor,,Dead 775 days. Tiny reference library (2.2K LOC) listing PHP resource functions—inlineable since the list is stable. The 489k dependents are inflated through transitive bundling; actual consumers are PHPUnit and Drupal distribution packages.,llm,0.92,489045,webflo/drupal-core-strict,2220,0,0,0,https://github.com/sebastianbergmann/resource-operations
pkg:composer/phpdocumentor/reflection-common,phpdocumentor/reflection-common,packagist,dormant,inlineable,0,0,vendor,,Only 98 lines with zero dependencies—copy it into the consuming project. Drupal's locked dependency set (93% of usage) won't update anyway.,llm,0.85,486971,webflo/drupal-core-strict,98,3,0,0,https://github.com/phpdocumentor/reflectioncommon
pkg:composer/phar-io/version,phar-io/version,packagist,dead,few-large,0,0,switch,pkg:composer/composer/semver,Almost all usage flows through phar-io/manifest (770M downloads). Switching to composer/semver—Composer's official semantic versioning package—would address the entire ecosystem. Library is stable but 4+ years unmaintained; active maintenance elsewhere reduces long-term risk.,llm,0.78,453713,phar-io/manifest,504,46,0,0,https://github.com/phar-io/version
pkg:composer/phar-io/manifest,phar-io/manifest,packagist,dormant,few-large,0,1,accept,,"Stable library for a focused task (phar.io manifest reading) with no maintained alternative. Drupal controls most usage via webflo/drupal-core-strict. Pin the version and audit the code if needed, but dormant status poses minimal risk for stable, complete software.",llm,0.85,453682,webflo/drupal-core-strict,1101,24,0,0,https://github.com/phar-io/manifest
pkg:composer/swiftmailer/swiftmailer,swiftmailer/swiftmailer,packagist,dead,broad,1,1,switch,pkg:composer/symfony/mailer,SwiftMailer reached end-of-life in November 2021 and has been archived. Symfony Mailer is the official successor with the same feature set and active maintenance; migrate off SwiftMailer to it.,llm,0.95,452482,symfony/swiftmailer-bundle,10155,863,0,0,https://github.com/swiftmailer/swiftmailer
pkg:composer/egulias/email-validator,egulias/email-validator,packagist,dead,broad,0,0,accept,,"Email validation rules are stable; this library is feature-complete and was passing tests 418 days ago. Pin to v4.x, monitor for CVEs, but inactivity is acceptable for a solved domain.",llm,0.8,433255,swiftmailer/swiftmailer,2499,184,0,0,https://github.com/egulias/emailvalidator
pkg:composer/psr/simple-cache,psr/simple-cache,packagist,dead,broad,0,0,accept,,PSR-16 is a stable specification interface; the absence of updates is expected and safe. Dependents should keep using it unchanged.,llm,0.98,423523,cache/adapter-common,23,0,0,0,https://github.com/php-fig/simple-cache
