purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:npm/fs.realpath,fs.realpath,npm,dormant,few-large,1,0,switch,,96% of usage is through glob. fs.realpath is a shim for Node's built-in API; use the native fs.realpath() instead and drop the dependency.,llm,0.88,5532257,glob,507,72,0,0,https://github.com/isaacs/fs.realpath
pkg:npm/fill-range,fill-range,npm,unknown,few-large,0,0,accept,,"fill-range is stable, mature utility code with no recent activity because the implementation is complete. Usage is concentrated in picomatch (44% of downloads). No security issues reported; small codebase (782 JS lines) is low-risk.",llm,0.85,5461792,picomatch,1370,75,0,0,https://github.com/jonschlinkert/fill-range
pkg:npm/to-regex-range,to-regex-range,npm,unknown,few-large,0,0,accept,,"Small, single-purpose utility that hasn't needed maintenance in 7 years. fill-range accounts for 96.5% of usage. Pin the version and continue using it.",llm,0.92,5300496,fill-range,1157,67,0,0,https://github.com/micromatch/to-regex-range
pkg:npm/fsevents,fsevents,npm,dormant,broad,0,0,accept,pkg:npm/chokidar,"Dormant but stable; wrapped macOS FSEvents API hasn't changed. Transparently skipped on non-macOS CI. Most dependents are transitive. Direct users wanting cross-platform should switch to Chokidar, though it offers a higher-level API.",llm,0.85,5289351,,349,40,1,0,https://github.com/fsevents/fsevents
pkg:npm/setprototypeof,setprototypeof,npm,unknown,inlineable,0,0,vendor,,Unmaintained but stable 108-line polyfill for a native API. Dependents can copy the code directly into their project or drop it entirely if legacy browser support isn't needed.,llm,0.92,5068682,yaku,108,7,0,0,https://github.com/wesleytodd/setprototypeof
pkg:npm/unpipe,unpipe,npm,unknown,inlineable,0,0,vendor,,"176-line, zero-dependency utility with a single function; safe to vendor into projects. 5M+ dependents are mostly transitive—direct users should copy the code rather than depend on unmaintained releases.",llm,0.92,5053604,npmc,299,9,0,0,https://github.com/stream-utils/unpipe
pkg:npm/fresh,fresh,npm,dormant,broad,0,0,accept,,"Stable HTTP spec utility with active maintainers. Dormancy reflects spec stability, not abandonment. Dependents should pin the version and monitor advisories.",llm,0.8,5019855,@nuxt/server,702,22,0,0,https://github.com/jshttp/fresh
pkg:npm/fast-deep-equal,fast-deep-equal,npm,dead,broad,0,0,accept,,"Stable utility with 4.9M dependents. Pin the version—the algorithm is well-proven, code is small, and security exposure is minimal. Fork locally if a breaking bug emerges.",llm,0.78,4968905,,0,0,0,0,https://github.com/epoberezkin/fast-deep-equal
pkg:npm/fast-json-stable-stringify,fast-json-stable-stringify,npm,dead,broad,0,0,accept,,"No runtime dependencies and stable codebase (529 LOC, no changes needed in 6+ years). Pin the version and monitor; most dependents can safely keep it. For risk-averse teams, the code is small enough to vendor inline.",llm,0.8,4957551,,529,23,0,0,https://github.com/epoberezkin/fast-json-stable-stringify
pkg:npm/utils-merge,utils-merge,npm,dead,inlineable,1,0,vendor,,"A 60-line shallow merge utility with no dependencies. Dependents should inline it to remove a dead dependency. For deep merging or richer object operations, switch to lodash or deepmerge.",llm,0.95,4948638,connect,192,3,0,0,https://github.com/jaredhanson/utils-merge
