purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:gem/tzinfo,tzinfo,rubygems,dormant,broad,0,0,accept,,"Algorithmically stable time zone library, dormant but not abandoned. Embedded across 1.35M repos, mostly via Rails intermediaries that can handle patching. No realistic alternative or coordinated migration path.",llm,0.8,1350059,activesupport,2700,317,0,0,https://github.com/tzinfo/tzinfo,pkg:gem/tzinfo,tzinfo,rubygems,dormant,broad,0,0,accept,,"Algorithmically stable time zone library, dormant but not abandoned. Embedded across 1.35M repos, mostly via Rails intermediaries that can handle patching. No realistic alternative or coordinated migration path.",llm,0.8,1350059,activesupport,2700,317,0,0,https://github.com/tzinfo/tzinfo
pkg:gem/sass,sass,rubygems,dead,broad,1,1,switch,pkg:gem/sassc,"Ruby Sass is archived with no updates planned. Switch to sassc, the official actively-maintained successor. For indirect dependents through packages like sprockets, either wait for those to migrate or switch your asset pipeline to sassc.",llm,0.98,1111541,tilt,13996,2084,0,0,https://github.com/sass/ruby-sass,pkg:gem/sass,sass,rubygems,dead,broad,1,1,switch,pkg:gem/sassc,"Ruby Sass is archived with no updates planned. Switch to sassc, the official actively-maintained successor. For indirect dependents through packages like sprockets, either wait for those to migrate or switch your asset pipeline to sassc.",llm,0.98,1111541,tilt,13996,2084,0,0,https://github.com/sass/ruby-sass
pkg:gem/thread_safe,thread_safe,rubygems,dead,few-large,1,0,switch,pkg:gem/concurrent-ruby,"The code was moved to concurrent-ruby and this repo is archived. Migrate to concurrent-ruby, which provides the same thread-safe primitives and is actively maintained.",llm,0.92,1055818,activesupport,1430,232,0,0,https://github.com/ruby-concurrency/thread_safe,pkg:gem/thread_safe,thread_safe,rubygems,dead,few-large,1,0,switch,pkg:gem/concurrent-ruby,"The code was moved to concurrent-ruby and this repo is archived. Migrate to concurrent-ruby, which provides the same thread-safe primitives and is actively maintained.",llm,0.92,1055818,activesupport,1430,232,0,0,https://github.com/ruby-concurrency/thread_safe
pkg:gem/coffee-script,coffee-script,rubygems,unknown,few-large,0,0,vendor,,"Unmaintained 11 years, but the wrapper is only 69 lines and stable. Vendor the code if you need CoffeeScript support, otherwise drop the feature.",llm,0.8,973159,tilt,69,9,0,0,https://github.com/rails/ruby-coffee-script,pkg:gem/coffee-script,coffee-script,rubygems,unknown,few-large,0,0,vendor,,"Unmaintained 11 years, but the wrapper is only 69 lines and stable. Vendor the code if you need CoffeeScript support, otherwise drop the feature.",llm,0.8,973159,tilt,69,9,0,0,https://github.com/rails/ruby-coffee-script
pkg:gem/rack-test,rack-test,rubygems,dormant,broad,0,0,accept,,"Dormancy reflects completion, not abandonment. Rack::Test is the ecosystem standard for testing Rack apps with a stable interface and minimal dependencies. Pin the version.",llm,0.85,960135,actionpack,629,64,0,0,https://github.com/rack/rack-test,pkg:gem/rack-test,rack-test,rubygems,dormant,broad,0,0,accept,,"Dormancy reflects completion, not abandonment. Rack::Test is the ecosystem standard for testing Rack apps with a stable interface and minimal dependencies. Pin the version.",llm,0.85,960135,actionpack,629,64,0,0,https://github.com/rack/rack-test
pkg:gem/builder,builder,rubygems,dead,few-large,0,0,accept,,"Builder is a mature, stable XML DSL library with no runtime dependencies. Its heaviest users (aws-sdk-core, Rails components) have standardized on it. No maintained alternative provides the same fluent-style API.",llm,0.92,939517,aws-sdk-core,436,38,0,0,https://github.com/rails/builder,pkg:gem/builder,builder,rubygems,dead,few-large,0,0,accept,,"Builder is a mature, stable XML DSL library with no runtime dependencies. Its heaviest users (aws-sdk-core, Rails components) have standardized on it. No maintained alternative provides the same fluent-style API.",llm,0.92,939517,aws-sdk-core,436,38,0,0,https://github.com/rails/builder
pkg:gem/rb-fsevent,rb-fsevent,rubygems,dormant,few-large,0,0,accept,,"rb-fsevent is small, stable native code with no dependencies. Its dominance by the actively maintained listen gem insulates most consumers from dormancy risk, and the focused scope makes it a manageable long-term pin if needed.",llm,0.82,869117,ruby-progressbar,178,27,0,0,https://github.com/thibaudgg/rb-fsevent,pkg:gem/rb-fsevent,rb-fsevent,rubygems,dormant,few-large,0,0,accept,,"rb-fsevent is small, stable native code with no dependencies. Its dominance by the actively maintained listen gem insulates most consumers from dormancy risk, and the focused scope makes it a manageable long-term pin if needed.",llm,0.82,869117,ruby-progressbar,178,27,0,0,https://github.com/thibaudgg/rb-fsevent
pkg:gem/sprockets,sprockets,rubygems,dormant,broad,1,0,accept,,Sprockets is dormant but stable and integral to the Rails asset pipeline. Most usage flows transitively through Rails itself. Pin to a stable 4.x release and monitor the 2 known advisories; new projects should evaluate Importmap or Vite instead.,llm,0.85,862908,actionpack,4960,379,0,0,https://github.com/rails/sprockets,pkg:gem/sprockets,sprockets,rubygems,dormant,broad,1,0,accept,,Sprockets is dormant but stable and integral to the Rails asset pipeline. Most usage flows transitively through Rails itself. Pin to a stable 4.x release and monitor the 2 known advisories; new projects should evaluate Importmap or Vite instead.,llm,0.85,862908,actionpack,4960,379,0,0,https://github.com/rails/sprockets
pkg:gem/rb-inotify,rb-inotify,rubygems,dormant,broad,0,0,accept,,"Thin, stable wrapper around the Linux inotify kernel API. Don't maintain it; pin the version. Dormancy doesn't pose risk when the underlying API is stable.",llm,0.82,857448,listen,285,30,0,0,https://github.com/guard/rb-inotify,pkg:gem/rb-inotify,rb-inotify,rubygems,dormant,broad,0,0,accept,,"Thin, stable wrapper around the Linux inotify kernel API. Don't maintain it; pin the version. Dormancy doesn't pose risk when the underlying API is stable.",llm,0.82,857448,listen,285,30,0,0,https://github.com/guard/rb-inotify
pkg:gem/sass-rails,sass-rails,rubygems,unknown,broad,0,1,accept,,"Unmaintained since 2020, functionally stable. 12 lines of code, no native layer. One dead transitive dependency requires evaluation. Pin version in existing projects; new work should evaluate dartsass-rails or cssbundling-rails.",llm,0.85,744828,bootstrap-sass,12,0,0,0,https://github.com/rails/sass-rails,pkg:gem/sass-rails,sass-rails,rubygems,unknown,broad,0,1,accept,,"Unmaintained since 2020, functionally stable. 12 lines of code, no native layer. One dead transitive dependency requires evaluation. Pin version in existing projects; new work should evaluate dartsass-rails or cssbundling-rails.",llm,0.85,744828,bootstrap-sass,12,0,0,0,https://github.com/rails/sass-rails
