purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:golang/github.com/pmezard/go-difflib,github.com/pmezard/go-difflib,go,unknown,broad,0,0,accept,,"The maintainer abandoned this package a decade ago, but it's stable, small (891 LOC), and does one focused thing well. Dependents should pin the version; the risk is minimal for diff generation, a well-understood problem that won't break from bitrot.",llm,0.8,281215,,891,185,0,0,https://github.com/pmezard/go-difflib
pkg:golang/github.com/davecgh/go-spew,github.com/davecgh/go-spew,go,dormant,inlineable,0,0,accept,,"Small, stable debugging utility with zero external dependencies. Hasn't needed changes in 8 years. Most dependents should pin the version. Projects seeking to eliminate the dependency can inline the 4,259-line codebase.",llm,0.9,281169,,4259,289,0,0,https://github.com/davecgh/go-spew
pkg:golang/gopkg.in/check.v1,gopkg.in/check.v1,go,dead,broad,0,1,switch,pkg:golang/github.com/stretchr/testify,273K dependent repos spread across the Go ecosystem with no obvious steward. Testify is the de facto Go standard and actively maintained; migrate assertions and basic suite patterns there. Projects with advanced suite features may need ginkgo or deeper refactoring.,llm,0.85,273224,,3931,515,0,0,https://github.com/go-check/check
pkg:golang/gopkg.in/yaml.v2,gopkg.in/yaml.v2,go,dead,broad,1,1,switch,pkg:golang/gopkg.in/yaml.v3,"Unmaintained since ~2020. Migrate to yaml.v3, the actively maintained successor with compatible API for most code.",llm,0.85,247600,,13327,2121,0,0,https://github.com/go-yaml/yaml
pkg:golang/github.com/golang/protobuf,github.com/golang/protobuf,go,dormant,broad,0,0,switch,pkg:golang/google.golang.org/protobuf,"Switch to google.golang.org/protobuf, Google's official maintained successor. v1.4+ already delegates to it, making the migration straightforward with full feature parity.",llm,0.95,213436,,20321,3497,0,0,https://github.com/golang/protobuf
pkg:golang/golang.org/x/xerrors,golang.org/x/xerrors,go,unknown,broad,0,0,switch,,This forward-compatibility layer was superseded by Go 1.13's error wrapping (fmt.Errorf %w verb) and Go 1.20's errors.Join. Migrate to standard library error handling.,llm,0.92,206048,,,,,0,https://cs.opensource.google/go/x/xerrors
pkg:golang/github.com/google/go-cmp,github.com/google/go-cmp,go,dormant,broad,0,0,accept,,Google maintains go-cmp passively as a stable utility—recent commits confirm ongoing care despite infrequent releases. No alternative offers equivalent comparison semantics. Pin the version and continue using it.,llm,0.85,201810,,10113,1431,0,0,https://github.com/google/go-cmp
pkg:golang/github.com/kr/text,github.com/kr/text,go,dead,broad,0,0,accept,,Stable text-formatting library unmaintained for 6+ years but free of known flaws or broken transitive dependencies. Downstream packages can safely continue using it by pinning to a known version.,llm,0.75,198489,,831,168,0,0,https://github.com/kr/text
pkg:golang/github.com/pkg/errors,github.com/pkg/errors,go,dormant,broad,0,0,switch,,"Go 1.13+ stdlib provides native error wrapping (fmt.Errorf(""%w"", ...), errors.Is/As). Migrate to stdlib error handling; pkg/errors was a precursor now superseded.",llm,0.87,198114,,1740,158,0,0,https://github.com/pkg/errors
pkg:golang/github.com/kr/pty,github.com/kr/pty,go,dead,alternative,1,0,switch,pkg:golang/github.com/creack/pty,"The original maintainer officially migrated this package to github.com/creack/pty, which is actively maintained. Update imports to the new module path.",llm,0.95,195811,,45,0,0,0,https://github.com/kr/pty
pkg:golang/github.com/kr/pretty,github.com/kr/pretty,go,dead,broad,0,1,switch,pkg:golang/github.com/davecgh/go-spew,"kr/pretty has been unmaintained for 1338 days with no recent activity, but serves 195k+ dependent repos. Switch to davecgh/go-spew, the standard maintained alternative for pretty-printing Go values.",llm,0.85,195495,,1248,186,0,0,https://github.com/kr/pretty
pkg:golang/golang.org/x/lint,golang.org/x/lint,go,dead,broad,1,0,switch,pkg:golang/github.com/golangci/golangci-lint,"golang.org/x/lint was deprecated by the Go team in favor of golangci-lint, which is actively maintained and widely used across the Go ecosystem. Use golangci-lint as a drop-in replacement for linting.",llm,0.95,164588,,,,,0,https://go.googlesource.com/lint
pkg:golang/github.com/golang/mock,github.com/golang/mock,go,dead,broad,1,0,switch,pkg:golang/github.com/uber/mock,"gomock is archived and unmaintained since June 2023. The project explicitly recommends switching to go.uber.org/mock, an actively maintained fork that is a drop-in replacement for mockgen.",llm,0.95,154196,,8048,971,0,0,https://github.com/golang/mock
pkg:golang/github.com/client9/misspell,github.com/client9/misspell,go,dead,few-large,1,0,adopt,,"k8s.io/test-infra accounts for ~80% of usage and has capacity to maintain a fork. With zero dependencies and stable, mature functionality, coordination among major dependents is viable.",llm,0.85,149121,k8s.io/test-infra,33631,406,0,0,https://github.com/client9/misspell
pkg:golang/github.com/rogpeppe/go-internal,github.com/rogpeppe/go-internal,go,dormant,broad,0,0,accept,,Stable testing utilities maintained by Go contributors. Last release was 427 days ago but the repo receives reactive commits; accept as a pinned long-term dependency.,llm,0.8,145028,,15018,2268,0,0,https://github.com/rogpeppe/go-internal
pkg:golang/github.com/kisielk/gotool,github.com/kisielk/gotool,go,unknown,few-large,0,0,vendor,,"90% of usage flows through gogo/protobuf; the 809-line utility library has zero dependencies and hasn't needed changes in eight years, making it trivial to inline. The dominant dependent could absorb it cleanly rather than keep the unmaintained package in scope.",llm,0.87,143885,github.com/gogo/protobuf,809,222,0,0,https://github.com/kisielk/gotool
pkg:golang/github.com/json-iterator/go,github.com/json-iterator/go,go,dead,alternative,1,2,switch,,"json-iterator/go is archived. Switch to Go's standard library encoding/json, which is the maintained drop-in replacement this library was designed to optimize. The stdlib has steadily improved in performance.",llm,0.8,143681,,16302,1969,0,0,https://github.com/json-iterator/go
pkg:golang/github.com/modern-go/concurrent,github.com/modern-go/concurrent,go,unknown,inlineable,0,0,vendor,,Map backport is obsolete (sync.Map in stdlib since Go 1.9); Executor is a simple pattern easily inlined or replaced with stdlib context + goroutines or golang.org/x/sync primitives.,llm,0.92,142786,,419,18,0,0,https://github.com/modern-go/concurrent
pkg:golang/github.com/modern-go/reflect2,github.com/modern-go/reflect2,go,dead,broad,0,0,accept,,Pin the version—the library is stable but unmaintained. Accept it for performance-critical reflection code; projects using it only transitively should consider switching to the standard library's reflect package instead.,llm,0.8,142780,,1575,94,1,0,https://github.com/modern-go/reflect2
pkg:golang/github.com/google/uuid,github.com/google/uuid,go,dormant,broad,0,0,accept,,"Dormancy is expected—RFC 9562 is stable and UUID generation is a solved algorithm with no dependencies. Pin the version and monitor Go compatibility changes, but no action required for most users.",llm,0.95,141184,,2350,551,0,0,https://github.com/google/uuid
pkg:golang/github.com/mattn/go-colorable,github.com/mattn/go-colorable,go,unknown,broad,0,0,accept,,"Stable Windows terminal colors utility with 134k dependent repos but no dead transitive dependencies. Last commit 473 days ago reflects code completion, not abandonment. No maintained drop-in replacement exists.",llm,0.8,134844,,1299,280,0,0,https://github.com/mattn/go-colorable
pkg:golang/github.com/google/gofuzz,github.com/google/gofuzz,go,dead,broad,0,0,accept,,Google archived this testing utility because property-based fuzzing has no active development cycle. The code is stable and self-contained with no transitive dependencies. Pin versions and accept the archive status rather than fork it.,llm,0.85,132006,,1597,258,0,0,https://github.com/google/gofuzz
pkg:golang/github.com/konsorten/go-windows-terminal-sequences,github.com/konsorten/go-windows-terminal-sequences,go,unknown,inlineable,0,0,vendor,,This 100-line wrapper for Windows terminal colors is stable but unmaintained. Projects should vendor the minimal code they need rather than maintain a live dependency.,llm,0.8,131583,,100,14,0,0,https://github.com/konsorten/go-windows-terminal-sequences
pkg:golang/github.com/google/btree,github.com/google/btree,go,dead,broad,1,0,accept,,"Stable algorithmic library with no external dependencies; archived after maturity, not due to defects. Safe to pin and continue using.",llm,0.88,129423,,2884,569,0,0,https://github.com/google/btree
pkg:golang/github.com/hashicorp/golang-lru,github.com/hashicorp/golang-lru,go,dormant,broad,0,0,accept,,Dormant but stable LRU cache with 128k distributed dependents. No maintained replacement available; pin the version and accept the risk.,llm,0.75,128405,,3282,867,0,0,https://github.com/hashicorp/golang-lru
pkg:golang/github.com/census-instrumentation/opencensus-proto,github.com/census-instrumentation/opencensus-proto,go,dead,kitchen-sink,1,0,accept,,Archived by design as part of the OpenCensus/OpenTracing merger into OpenTelemetry (sunsetting announced July 2023). Pin this version as a stable base while planning migration via language-specific OpenTelemetry bridges.,llm,0.95,126032,,12920,819,0,0,https://github.com/census-instrumentation/opencensus-proto
pkg:golang/github.com/gogo/protobuf,github.com/gogo/protobuf,go,dead,kitchen-sink,0,0,switch,pkg:golang/google.golang.org/protobuf,"Switch to google.golang.org/protobuf, actively maintained by Google. It superseded gogo by adding the convenience methods that made gogo popular. Regenerate protos with the new plugin; migration is standard.",llm,0.85,125927,,558854,161003,0,0,https://github.com/gogo/protobuf
pkg:golang/github.com/golang/groupcache,github.com/golang/groupcache,go,dead,no-alternative,0,0,accept,,"groupcache is mature, stable code that doesn't require active development. Its distributed in-process caching design has no drop-in replacement, and it's too widely depended on to fork. Pin the version and carry the risk forward.",llm,0.95,125744,,2331,487,0,0,https://github.com/golang/groupcache
pkg:golang/github.com/mitchellh/mapstructure,github.com/mitchellh/mapstructure,go,dead,kitchen-sink,1,0,accept,,"Stable library after 4+ years completing its design. With 32k package dependents, forking is impractical. Pin the version and accept the low risk of an unmaintained utility, or vendor into critical infrastructure if needed.",llm,0.85,124571,,5117,1079,0,0,https://github.com/mitchellh/mapstructure
pkg:golang/go.uber.org/atomic,go.uber.org/atomic,go,dormant,broad,0,0,accept,,"Stable Uber library providing typed wrappers for atomic operations. Go 1.19+ includes equivalent generics in stdlib; plan to switch when upgrading Go versions. Until then, this is safe to pin—no active maintenance is needed.",llm,0.88,121018,,2717,124,0,0,https://github.com/uber-go/atomic
pkg:golang/github.com/ghodss/yaml,github.com/ghodss/yaml,go,dead,broad,0,0,accept,,Unmaintained but stable wrapper around go-yaml. Pin the version and keep go-yaml updated. No drop-in replacement; switching requires code changes and isn't practical for 120k+ dependents.,llm,0.8,120940,,1150,271,0,0,https://github.com/ghodss/yaml
pkg:golang/github.com/go-stack/stack,github.com/go-stack/stack,go,dormant,broad,0,0,accept,,Stable stack-tracing utility with a cleaner API than runtime.Callers; feature-complete with zero dependencies. Dormancy poses no risk—pin and rely on it.,llm,0.88,120231,,905,160,0,0,https://github.com/go-stack/stack
pkg:golang/github.com/google/renameio,github.com/google/renameio,go,dormant,few-large,1,0,adopt,,"Atomic file operations are core to staticcheck's test infrastructure. The code is simple and unlikely to need changes; adoption is straightforward ownership transfer. For the tiny tail of direct dependents, vendoring is viable if adoption doesn't happen.",llm,0.92,120047,honnef.co/go/tools,1442,300,0,0,https://github.com/google/renameio
pkg:golang/github.com/google/martian,github.com/google/martian,go,dead,kitchen-sink,1,0,accept,,Stable testing proxy with zero runtime dependencies; safe to pin if you use it for testing. Large dependents like cloud.google.com/go should consider forking if future Go compatibility becomes critical.,llm,0.75,112722,cloud.google.com/go,21746,5302,0,0,https://github.com/google/martian
pkg:golang/github.com/creack/pty,github.com/creack/pty,go,dormant,few-large,0,0,accept,,"Stable Unix PTY library with concentrated usage through maintained intermediaries (kr/pty, survey, Netflix/go-expect, AWS agent). Zero runtime dependencies means no supply chain decay; pin the version and monitor the few-large dependents.",llm,0.85,112125,github.com/kr/pty,1620,245,1,0,https://github.com/creack/pty
